Benchmark/0-4         	30000000	        40.0 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        43.3 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        42.1 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.5 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        40.3 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.7 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	30000000	        39.4 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        37.9 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.0 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	50000000	        38.4 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4         	10000000	       142 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       142 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       144 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       142 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       142 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       143 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       143 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       141 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       141 ns/op	     144 B/op	       4 allocs/op
Benchmark/1-4         	10000000	       142 ns/op	     144 B/op	       4 allocs/op
Benchmark/10-4        	 2000000	       636 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       635 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       640 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       643 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       634 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       634 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       637 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       634 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       636 ns/op	     608 B/op	      15 allocs/op
Benchmark/10-4        	 2000000	       635 ns/op	     608 B/op	      15 allocs/op
Benchmark/100-4       	  300000	      4651 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4708 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4662 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4670 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4660 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4826 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4820 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4784 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      4884 ns/op	    6192 B/op	     107 allocs/op
Benchmark/100-4       	  300000	      5996 ns/op	    6192 B/op	     107 allocs/op
Benchmark/1000-4      	   30000	     40031 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     40150 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     39259 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     39550 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   30000	     39448 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   30000	     53005 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   30000	     39459 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   50000	     50650 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   30000	     46179 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/1000-4      	   30000	     42473 ns/op	   33024 B/op	    1013 allocs/op
Benchmark/10000-4     	    5000	    402189 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    399543 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    444353 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    2000	    535713 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    413398 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    524530 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    522692 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    450681 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    411844 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/10000-4     	    3000	    392541 ns/op	  322064 B/op	   10083 allocs/op
Benchmark/100000-4    	     300	   4193888 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4214206 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4148777 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4313991 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4216403 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4224566 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4280966 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4401860 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4260736 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/100000-4    	     300	   4119861 ns/op	 3220752 B/op	  100787 allocs/op
Benchmark/1000000-4   	      30	  47093653 ns/op	32191056 B/op	 1007819 allocs/op
Benchmark/1000000-4   	      30	  47440391 ns/op	32191056 B/op	 1007819 allocs/op
Benchmark/1000000-4   	      30	  46749787 ns/op	32191056 B/op	 1007819 allocs/op
Benchmark/1000000-4   	      30	  46783798 ns/op	32191056 B/op	 1007819 allocs/op
